Group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
Cultivar2	0.0825825	-0.011865	0.0932514	0.000394824	0.00789899	-0.00557017	-0.00795502	0.00441217	-0.00177763	-0.0015052	-0.0737698	-0.00667815	-0.00475552	-0.0183913	0.00424613	-0.0935531	0.0752456	-0.00690824	0.011528	-0.100514
Cultivar1	0.0837343	-0.0139091	0.163621	-0.00173214	0.000397917	0.00020247	0.000633538	0.00288997	-0.00413694	-0.0101739	0.121163	0.00688618	-0.00271143	0.0125632	-0.00197435	0.00852453	-0.0533067	-0.000652153	-0.000340168	-0.0244519
Cultivar1	0.0839202	-0.0142568	0.216765	-0.00257193	-0.000114568	0.00170859	0.00176321	0.00427649	-0.00260389	-0.00798116	0.150038	0.00875098	-0.00303395	0.0203737	-0.00177731	-0.0205927	-0.119874	0.00391506	0.00417126	-0.0219873
Cultivar1	0.0831608	-0.0140029	0.202104	-0.00258407	-5.0982e-05	0.00404892	0.00194049	0.00241633	-0.00135856	-0.00312991	0.0265074	0.00228958	-0.00138021	0.0170726	-0.000112467	0.033896	-0.107175	0.00663565	-0.000713985	-0.00618035
Cultivar1	0.0835955	-0.0142783	0.163066	-0.00574401	-0.00300992	0.000372519	0.00271187	0.00287162	-0.00255206	-0.00982711	0.175956	0.0119389	-0.00366569	0.0219457	-0.00413984	-0.028659	-0.0883038	0.00576256	0.00503794	0.0243465
Cultivar1	0.0835594	-0.0142333	0.194406	-0.0033856	-0.00325975	0.00228041	0.00328401	0.00446608	-0.00381472	-0.0112541	0.16264	0.010954	0.000676433	0.0175624	-0.000818233	0.00748151	-0.129137	0.00275165	0.00193878	0.00468442
Cultivar1	0.0835223	-0.014256	0.166918	-0.00146879	0.000236759	0.00159971	0.00198695	0.000630957	-0.00352134	-0.0110801	0.174414	0.012049	-0.00256393	0.0185762	-0.00290962	-0.0474847	-0.0567442	0.00291861	0.000648144	0.00607704
Cultivar3	0.080754	-0.0118111	-0.0385242	-0.00252846	-0.000188845	0.00355709	0.00524656	-0.0116771	-0.00374056	-0.00808894	0.15945	0.0172891	0.00673092	0.0220249	-0.0103775	0.209368	0.0436165	-0.00992608	0.0125353	-0.109208
P_tc	0.0779607	-0.00983471	-0.21703	-0.00254143	0.00172783	0.00485723	0.00427117	-0.00269935	-0.00102873	-0.00853932	0.0988958	0.00900062	0.0300143	0.0217544	0.00214124	0.396042	0.281826	-0.025157	0.0313544	-0.442407
P_tc	0.0772391	-0.010407	-0.198433	-0.00128415	0.00024114	-8.07516e-05	0.0033215	0.00112557	-0.000598211	0.00821002	0.0408147	0.00325785	0.00551241	0.0470693	0.0035336	0.0313457	-0.194351	0.00714837	0.0103456	-0.136234
P_tc	0.0779003	-0.00980885	-0.181974	0.00502517	0.00481574	0.000608767	-0.00844947	-0.0148011	-0.00619476	-0.022548	0.175937	0.00653099	0.0112111	0.0463717	-0.0150235	0.382479	0.294094	-0.0131809	0.0709494	-0.0600222
P_tc	0.0775247	-0.0113268	-0.236858	-0.0034671	-0.00199116	0.00111989	-0.00896043	0.00675566	0.00368886	0.00982385	0.00578243	0.00434863	-0.00594861	0.0401869	0.00726323	-0.0730339	-0.232933	0.0563045	0.048714	0.404904
P_Dav	0.0788868	-0.00942987	-0.105827	0.00345828	0.00241317	-0.00693166	-0.00188841	-0.030708	-0.0193649	-0.0196222	0.187939	0.00653382	0.0123229	-0.126146	-0.0187408	-0.119123	0.402554	-0.0311843	-0.0700843	0.477133
P_Dav	-0.243042	-0.147895	0.00744882	0.0222579	0.129093	0.186484	0.746714	-0.379657	0.310328	-0.0786301	-0.029742	0.0758586	0.162453	0.0257688	-0.0808078	-0.0249588	0.00486305	-0.0168562	-0.0209098	-0.00211462
P_Dav	-0.241977	-0.133436	-0.00619489	-0.193812	-0.124214	-0.530408	0.00220855	0.427553	0.404362	-0.138701	-0.0151067	0.401234	0.144072	-0.124539	0.0675764	0.0177197	-0.00255693	0.0348287	-0.00779765	0.00325563
P_Dav	-0.242866	-0.143156	0.0029029	-0.183096	-0.00297797	-0.0328566	-0.00942458	0.0477573	0.108618	0.891837	0.0685236	-0.184569	-0.105704	-0.0120004	-0.0591959	0.0103806	0.0153357	0.0204703	-0.0402549	-0.00402558
